Municípios,Mes,area_km2
Paracatu,setembro,13.255921872268626
Santa Vitória,setembro,10.766537406018772
Uberaba,setembro,7.5834203180830215
Santa Juliana,setembro,7.498311198145617
Jaíba,setembro,7.340607806444047
Nova Ponte,setembro,7.292083213170074
João Pinheiro,setembro,6.3626959785066015
Uberlândia,setembro,6.108928566753694
Sacramento,setembro,5.831112491548069
Buritis,setembro,5.4449911703675005
Janaúba,setembro,4.524464190939043
Pai Pedro,setembro,4.431906071424861
Bonfinópolis de Minas,setembro,4.32130026130645
Itacarambi,setembro,4.300823812248502
Campo Florido,setembro,3.9442576974552246
São João da Ponte,setembro,3.7293693568872217
Guarda-Mor,setembro,3.5702266230593254
Matias Cardoso,setembro,3.427451392516824
Indianópolis,setembro,3.3877368071468488
Campina Verde,setembro,3.359509123829349
Cabeceira Grande,setembro,3.332805627179786
Araporã,setembro,3.3076556230904828
Bocaiúva,setembro,3.225087702531152
Unaí,setembro,3.1969867405681858
Itapagipe,setembro,2.958068204839652
Gameleiras,setembro,2.902436797994847
Três Corações,agosto,2.7016251267781266
Coromandel,setembro,2.584311752197118
Capinópolis,setembro,2.5642423727179295
São Pedro dos Ferros,agosto,2.549650006057521
Capitão Enéas,setembro,2.507908376124249
São Romão,setembro,2.4435869819156695
Grão Mogol,setembro,2.345067032670063
Formoso,setembro,2.3324406599586163
Lagoa Grande,setembro,2.31199900377947
Cambuquira,agosto,2.216040482536891
Lassance,setembro,2.208257357028714
Ituiutaba,setembro,2.163802104499096
Diamantina,setembro,2.0877594189413404
Ataléia,agosto,2.0472135599046775
Buritizeiro,setembro,1.9894782329645924
Januária,setembro,1.972504275030807
Patos de Minas,setembro,1.939071921822973
Conquista,setembro,1.8928076230882978
Perdizes,setembro,1.8913861962070726
Conquista,agosto,1.8613380429112574
Verdelândia,setembro,1.8401334020636835
Manga,setembro,1.8276565248958536
Estrela do Sul,setembro,1.7872252423847974
São João do Paraíso,agosto,1.7592892059767888
Montes Claros,setembro,1.7350549385479173
Arinos,setembro,1.7034860383288817
Carbonita,setembro,1.6739335591700866
Frutal,setembro,1.6482598013300573
Campanha,agosto,1.5973437726916184
São Francisco de Sales,setembro,1.5780542060095857
Sacramento,agosto,1.546066817399986
Araguari,setembro,1.5356925067980338
Porteirinha,setembro,1.4911882739619735
Itinga,agosto,1.4754961009369008
Ninheira,agosto,1.4721940241113505
Jequitinhonha,agosto,1.4636465874100986
Guanhães,agosto,1.439223238384577
São João do Paraíso,setembro,1.3738364286719007
Patrocínio,setembro,1.3350823360758075
Pedrinópolis,setembro,1.301263073183845
Conceição do Rio Verde,agosto,1.2797281752414493
Limeira do Oeste,setembro,1.2751437377181507
Francisco Sá,setembro,1.243524023743383
Aimorés,agosto,1.200132254172206
União de Minas,setembro,1.1984018785554693
Periquito,agosto,1.1825190275752386
Brasilândia de Minas,setembro,1.168308484279561
Uberaba,agosto,1.1141617421597116
Santa Fé de Minas,setembro,1.1027586173257595
Carneirinho,setembro,1.0977681756157915
São João das Missões,setembro,1.0715271038103413
Augusto de Lima,setembro,1.0424882543352965
Juvenília,setembro,1.0202878403379847
Monte Carmelo,setembro,1.0071004873363332
Frutal,agosto,1.0013763989577813
Riacho dos Machados,setembro,0.990182085100673
Romaria,setembro,0.9536835750544151
Chapada Gaúcha,setembro,0.9194504980639707
Cordislândia,agosto,0.911484597584376
Claro dos Poções,setembro,0.9041218347237745
Águas Vermelhas,agosto,0.8951109645999993
Ibiá,setembro,0.8680741093218827
Bambuí,setembro,0.8637431966771242
Taiobeiras,agosto,0.843739140632869
Vazante,setembro,0.8096805757350691
Delta,setembro,0.8058050963040022
Pompéu,setembro,0.7975396295839464
Corinto,setembro,0.7617145263323569
Medina,agosto,0.7591198835492158
Rio Paranaíba,setembro,0.7550500405933455
Várzea da Palma,setembro,0.7221247524051339
Pedra Azul,agosto,0.7215665134737161
Mesquita,agosto,0.7033664198612843
Ninheira,setembro,0.691119334654669
Araxá,setembro,0.6884154298698585
São Roque de Minas,setembro,0.68607341027135
Ponto dos Volantes,agosto,0.6448861299936566
Natalândia,setembro,0.6311480333079639
Piumhi,setembro,0.629953265937859
Araçuaí,agosto,0.6067226408786857
Ibiaí,setembro,0.5989979391436587
São Francisco,setembro,0.5989485806954195
Coração de Jesus,setembro,0.59832335814742
Prata,setembro,0.5781203091806366
Presidente Olegário,setembro,0.573952067362119
Manhuaçu,agosto,0.567018515266582
Curvelo,setembro,0.5618488166589143
Franciscópolis,agosto,0.5589554931607456
São Gonçalo do Sapucaí,agosto,0.5531463766281898
Resplendor,agosto,0.5434404297910589
Rio Pardo de Minas,setembro,0.5408747604050198
Urucuia,setembro,0.5296404072315207
Raul Soares,agosto,0.5266506960805357
Curral de Dentro,agosto,0.5160656824416645
Lagoa Santa,setembro,0.5085268162114798
Joaíma,agosto,0.47999436791997874
Riachinho,setembro,0.4749184030362638
Salinas,agosto,0.47193193258819816
Uruana de Minas,setembro,0.4681730413405164
Monte Azul,setembro,0.4637013477628309
Monte Alegre de Minas,setembro,0.46115081513265727
Comercinho,agosto,0.4281164180932715
Passos,agosto,0.42314289499641794
Glaucilândia,setembro,0.4123025475969942
Pedras de Maria da Cruz,setembro,0.4097063482350214
Ponto Chique,setembro,0.408807022152873
Delta,agosto,0.40696204779547324
Urucânia,agosto,0.4027275083444299
Indaiabira,agosto,0.39858740615991806
Coronel Murta,agosto,0.3801590395819556
Comendador Gomes,setembro,0.366069313602433
Cachoeira de Pajeú,agosto,0.3504624231666433
Francisco Dumont,setembro,0.3479346461022279
Joaquim Felício,setembro,0.3464047716352165
Santana do Garambéu,setembro,0.34321179897722187
Itaobim,agosto,0.3423573458195162
Água Boa,agosto,0.34188452987449836
Araçaí,setembro,0.3374395061156857
Brasília de Minas,setembro,0.33117923548631284
Ponte Nova,agosto,0.32933053951372004
Berizal,agosto,0.32336893403812644
Dionísio,agosto,0.309855124850564
São Bento Abade,setembro,0.3030346419643063
Três Marias,setembro,0.27999256001479766
Pintópolis,setembro,0.27558721922463514
Nova Lima,setembro,0.2732950923427938
Pirapora,setembro,0.2678592368197953
Pimenta,setembro,0.2666330031648998
Águas Formosas,agosto,0.2627857778897322
São José do Goiabal,agosto,0.258671417269222
Espinosa,setembro,0.25799692264046614
Piedade de Ponte Nova,agosto,0.257689495755927
Guimarânia,setembro,0.25375087916471994
Botumirim,setembro,0.2524042269383889
Guapé,agosto,0.24748989026257606
Monte Formoso,agosto,0.24553978039361635
Poços de Caldas,setembro,0.23529206899277094
Varjão de Minas,setembro,0.22846971271924005
Jequitaí,setembro,0.22599879591254649
Montezuma,setembro,0.22067474179093774
São João da Lagoa,setembro,0.2158932207123079
Pedra Azul,setembro,0.214517458534773
Naque,agosto,0.21448674753020217
Itambacuri,agosto,0.2135328317321522
Divisa Alegre,agosto,0.21154847451160746
Malacacheta,agosto,0.21074446453062887
Sabinópolis,agosto,0.20926945352499823
Varzelândia,setembro,0.2079090411558141
São Sebastião do Maranhão,agosto,0.20467196949975416
Rubelita,agosto,0.19808305997552184
Icaraí de Minas,setembro,0.19379304853324358
Carneirinho,agosto,0.1923961101914795
Materlândia,agosto,0.18786984792901676
Campos Gerais,agosto,0.18775492584055897
Rubelita,setembro,0.17110496900531072
Lima Duarte,setembro,0.1665497218132237
Alfenas,agosto,0.16502817414229903
Serra do Salitre,setembro,0.16431998295787922
Pedra do Anta,agosto,0.15988107001156832
Caraí,agosto,0.15054428206363324
Muzambinho,setembro,0.15053526101477357
Delfim Moreira,agosto,0.14953241954763363
Montalvânia,setembro,0.14421009292428902
Paraguaçu,agosto,0.14410834307018716
Poté,agosto,0.1439066226409736
Ibiraci,agosto,0.13861143042691676
Carlos Chagas,agosto,0.1365508215582261
Abadia dos Dourados,setembro,0.13607345655260097
São Domingos do Prata,agosto,0.13255528510000641
Tupaciguara,setembro,0.13194032920048876
Rio Doce,agosto,0.1260601462589198
Miravânia,setembro,0.12274856540653291
Bonito de Minas,setembro,0.11729287855936667
Santa Maria do Suaçuí,agosto,0.11439382623970522
Braúnas,agosto,0.1133268988888596
Itueta,agosto,0.11254494297687029
Salinas,setembro,0.11143031714200781
Antônio Dias,agosto,0.11049712983045958
Campos Altos,setembro,0.10801166144384905
Santa Rita do Sapucaí,agosto,0.10708397861468318
Ubaí,setembro,0.10583890035576284
Três Pontas,agosto,0.10561417187942827
Cana Verde,setembro,0.10453253444600914
Rio do Prado,agosto,0.10399182828105669
José Raydan,agosto,0.10326341377582805
Lagoa Dourada,setembro,0.102298928435106
Três Corações,setembro,0.10228570176750676
Luislândia,setembro,0.10220243640987084
Coluna,agosto,0.10099042857269304
São Gonçalo do Abaeté,setembro,0.1006948745234841
Cônego Marinho,setembro,0.09969322015973055
Peçanha,agosto,0.09870115271296673
Santa Rita de Caldas,setembro,0.09492103127712267
São José do Jacuri,agosto,0.09446515037783618
Tocantins,agosto,0.09299191860879386
Cristina,agosto,0.09298671508661983
Vargem Bonita,setembro,0.09181808204886338
Santana de Pirapama,setembro,0.09145856654822317
Rio Vermelho,agosto,0.09134886225985459
Almenara,agosto,0.09079250010676125
Ferros,agosto,0.08828411736899996
Japonvar,setembro,0.08815773916747226
Cordisburgo,setembro,0.08770764657994849
Olímpio Noronha,agosto,0.08636523947752592
Virginópolis,agosto,0.08623067202738824
Iapu,agosto,0.08578355846030562
Três Pontas,setembro,0.08443168697160448
São João Evangelista,agosto,0.08396197565097831
Alvinópolis,agosto,0.08218509042347302
Sapucaí-Mirim,agosto,0.0814455580166038
Carmo do Rio Claro,setembro,0.0799855728961667
Fronteira dos Vales,agosto,0.07873121853159819
Jesuânia,setembro,0.07802131086184534
Cássia,agosto,0.07797507512137788
Mirabela,setembro,0.07796962823156697
Arapuá,setembro,0.07583962373832316
Campo Azul,setembro,0.07311879687972492
Formiga,setembro,0.07150530355363895
Bertópolis,agosto,0.07071926149569202
Careaçu,setembro,0.06965567097875423
Virgolândia,agosto,0.0687335358903967
Arcos,setembro,0.0674754681592233
Mantena,agosto,0.06576442403114777
Ilicínea,agosto,0.06542758316269373
Amparo do Serra,agosto,0.06446478872390127
São Sebastião do Oeste,setembro,0.06269989904246184
Paraopeba,setembro,0.06214180817461532
Matipó,agosto,0.061653676552865674
Taiobeiras,setembro,0.06085453519351975
Inimutaba,setembro,0.06066923378624391
Sapucaí-Mirim,setembro,0.06060416201094028
Marilac,agosto,0.060447680424691744
Ponto dos Volantes,setembro,0.06026387359933747
São João del Rei,setembro,0.05981480773694786
Candeias,setembro,0.05979169405530968
Campos Gerais,setembro,0.05952202172444761
Santana do Paraíso,agosto,0.05944023763374598
Setubinha,agosto,0.059176391865569666
Santo Antônio do Monte,setembro,0.05818866875134345
Cordislândia,setembro,0.05810954258049324
Novo Cruzeiro,agosto,0.05781775544029506
Caratinga,agosto,0.05778325013205048
São José da Safira,agosto,0.057620758291154275
Santa Cruz do Escalvado,agosto,0.056892409998316434
Morro da Garça,setembro,0.05629194520434431
Douradoquara,setembro,0.05572589218478597
Cajuri,agosto,0.055674460359444025
Palma,agosto,0.05562739249909922
Santa Cruz de Salinas,agosto,0.055434089750233784
Mato Verde,setembro,0.053661599788906895
Lagamar,setembro,0.053193518321729666
São João da Mata,agosto,0.05239404695640173
Jordânia,agosto,0.0506384335490055
Itamarandiba,agosto,0.0505958760458307
São João do Pacuí,setembro,0.05048337780506648
Capetinga,setembro,0.05001814191771544
Bom Sucesso,setembro,0.048369397959709806
Santa Cruz de Salinas,setembro,0.048198411050354543
Pratápolis,setembro,0.0472309049387105
Leopoldina,agosto,0.04647297798982276
Serrania,setembro,0.044204491041390424
Santo Antônio do Amparo,setembro,0.04338102204493801
Monsenhor Paulo,setembro,0.043087988859028585
Itapecerica,setembro,0.04240397673394108
Santana da Vargem,agosto,0.04228919089703334
Pedra do Indaiá,setembro,0.0419444216388887
Carmo de Minas,agosto,0.04100869601514694
Rio Casca,agosto,0.04074057068574466
Marliéria,agosto,0.04056455541631255
São Sebastião do Paraíso,agosto,0.040484940036771465
Itajubá,setembro,0.040428790590101744
Divisópolis,agosto,0.040417958605760716
Coronel Fabriciano,agosto,0.04034873393065602
Muriaé,agosto,0.039698591614958735
Japaraíba,setembro,0.03928633917204221
Maravilhas,setembro,0.039276592069415625
Camacho,setembro,0.03802679574339495
Itapeva,setembro,0.03743379600792932
Timóteo,agosto,0.03693272205345603
São José do Alegre,agosto,0.03691432343482635
Presidente Juscelino,setembro,0.03555833855754094
Heliodora,agosto,0.035308266088210666
Cristais,setembro,0.03515784443335394
Baependi,agosto,0.03500601433142414
São Tomás de Aquino,agosto,0.03458615662020067
Elói Mendes,agosto,0.03454870632086032
Nepomuceno,setembro,0.034462989526551135
Senador Modestino Gonçalves,setembro,0.034457803519855085
Elói Mendes,setembro,0.03430731347003389
Lagoa Formosa,setembro,0.0342985409913401
Florestal,setembro,0.033174289258636205
Delfim Moreira,setembro,0.032523440980024215
Novo Cruzeiro,setembro,0.03243056704125763
Lagoa da Prata,setembro,0.03242152818582867
Varginha,agosto,0.03204389603897858
São Tomás de Aquino,setembro,0.0318575846505324
Patis,setembro,0.030815483866929387
Coronel Murta,setembro,0.030808620836734045
Santana da Vargem,setembro,0.03070381075806629
Andradas,setembro,0.030624039922284848
Monjolos,setembro,0.030229962938122145
Cristália,setembro,0.02978701062026075
Carvalhos,setembro,0.02972726507013394
Iraí de Minas,setembro,0.02887355073525369
Vargem Grande do Rio Pardo,setembro,0.028854975291683783
Borda da Mata,setembro,0.02882917539794416
Dores de Guanhães,agosto,0.028678631297681247
Jaguaraçu,agosto,0.02856595399532847
Maria da Fé,agosto,0.02843227601907897
Paula Cândido,agosto,0.028311981096207153
Jaboticatubas,setembro,0.02821009311269771
Campo do Meio,agosto,0.02808288724494368
Eugenópolis,agosto,0.027786993081093652
Bom Jesus do Galho,agosto,0.027563866006292913
São Pedro do Suaçuí,agosto,0.027504567067095254
Caraí,setembro,0.02740409895006296
Pingo-d'Água,agosto,0.02733442852455154
Padre Paraíso,agosto,0.027124841473312816
Onça de Pitangui,setembro,0.027007453338234313
Carmo do Paranaíba,setembro,0.026360882034581555
Vermelho Novo,agosto,0.026199769059806147
São João do Manhuaçu,agosto,0.025946981519641768
Ervália,agosto,0.024366771595842364
Inhaúma,setembro,0.024077086279125307
Santa Maria de Itabira,agosto,0.024026416593282623
Comercinho,setembro,0.023535927923451595
Nova Porteirinha,setembro,0.02300409548240499
Santa Rita do Sapucaí,setembro,0.022344603640262344
Padre Paraíso,setembro,0.022120296484167388
Cachoeira de Pajeú,setembro,0.022093850031892657
São Miguel do Anta,agosto,0.021974641349371927
Paulistas,agosto,0.021604662524884268
Carmo da Cachoeira,setembro,0.02095969903439953
Barra Longa,agosto,0.020855652801454006
Cascalho Rico,setembro,0.02053149093324137
Campanha,setembro,0.020345018895073032
Viçosa,agosto,0.020150044803971714
Novorizonte,setembro,0.019461852652710297
Cana Verde,agosto,0.019175546521541114
Botelhos,setembro,0.01912159144300347
São Sebastião do Rio Verde,agosto,0.0185846196602594
São Pedro da União,setembro,0.018295175829243577
Camanducaia,setembro,0.01790292591504958
Luz,setembro,0.017774678416490275
Bueno Brandão,setembro,0.017588074497266733
Ladainha,agosto,0.0168575674701438
Gonçalves,agosto,0.01658192666108244
Guapé,setembro,0.016483180280473273
Perdões,setembro,0.016448059075788186
Cambuí,setembro,0.015319968700532881
Inconfidentes,setembro,0.013003609410865742
Joanésia,agosto,0.00777474597400707
Boa Esperança,agosto,0.0012325309030221656
Piranguinho,setembro,0.000746062241602243
Cachoeira da Prata,setembro,0.0004756593585240156
Teixeiras,agosto,0.0003710460497444143
