Municípios,Gentílico,PIB per capita,População
Abadia dos Dourados,mineiro,25174.26,6272
Abaeté,mineiro,23266.1,22675
Abre Campo,mineiro,19553.86,13927
Acaiaca,mineiro,16247.06,3909
Açucena,mineiro,17888.2,8943
Água Boa,mineiro,14421.07,12589
Água Comprida,mineiro,115725.51,2108
Aguanil,mineiro,20762.54,4357
Águas Formosas,mineiro,14913.12,18448
Águas Vermelhas,mineiro,17329.28,14037
Aimorés,mineiro,25402.54,25269
Aiuruoca,mineiro,21608.49,6233
Alagoa,mineiro,17958.99,2749
Albertina,mineiro,51065.05,2952
Além Paraíba,mineiro,27422.83,30717
Alfenas,mineiro,43049.74,78970
Alfredo Vasconcelos,mineiro,21364.59,6931
Almenara,mineiro,15924.96,40364
Alpercata,mineiro,12700.99,6903
Alpinópolis,mineiro,26133.79,18300
Alterosa,mineiro,20357.31,13915
Alto Caparaó,mineiro,16354.23,5795
Alto Jequitibá,mineiro,15158.56,8397
Alto Rio Doce,mineiro,16798.64,10891
Alvarenga,mineiro,14445.67,3975
Alvinópolis,mineiro,22478.72,15059
Alvorada de Minas,mineiro,17990.28,4159
Amparo do Serra,mineiro,12045.13,4541
Andradas,mineiro,28386.06,40553
Andrelândia,mineiro,23950.85,11927
Angelândia,mineiro,16818.81,7718
Antônio Carlos,mineiro,21088.32,11095
Antônio Dias,mineiro,96894.13,9219
Antônio Prado de Minas,mineiro,18117.22,1538
Araçaí,mineiro,25422.8,2181
Aracitaba,mineiro,15253.67,2049
Araçuaí,mineiro,14163.67,34297
Araguari,mineiro,49322.18,117808
Arantina,mineiro,31861.03,2915
Araponga,mineiro,14443.79,8048
Araporã,mineiro,185156.76,8479
Arapuá,mineiro,60936.37,2631
Araújos,mineiro,49809.64,9199
Araxá,mineiro,82570.25,111691
Arceburgo,mineiro,31547.24,9177
Arcos,mineiro,57713.61,41416
Areado,mineiro,20234.71,13881
Argirita,mineiro,14954.09,2688
Aricanduva,mineiro,12645.43,4719
Arinos,mineiro,17849.84,17272
Astolfo Dutra,mineiro,20339.56,14138
Ataléia,mineiro,15926.39,13736
Augusto de Lima,mineiro,18423.57,4538
Baependi,mineiro,19795.44,18366
Baldim,mineiro,25871.06,7492
Bambuí,mineiro,32549.38,23546
Bandeira,mineiro,12476.94,4741
Bandeira do Sul,mineiro,14907.61,5943
Barão de Cocais,mineiro,73393.52,30778
Barão de Monte Alto,mineiro,11883.74,4964
Barbacena,mineiro,25335.18,125317
Barra Longa,mineiro,16702.85,5666
Barroso,mineiro,29022.49,20080
Bela Vista de Minas,mineiro,55337.41,10167
Belmiro Braga,mineiro,17992.57,3244
Belo Horizonte,mineiro,41818.32,2315560
Belo Oriente,mineiro,77527.64,23928
Belo Vale,mineiro,36243.16,8627
Berilo,mineiro,9551.5,9826
Berizal,mineiro,12734.93,4201
Bertópolis,mineiro,11671.08,4451
Betim,mineiro,73624.78,411846
Bias Fortes,mineiro,12668.63,3361
Bicas,mineiro,18998.7,13978
Biquinhas,mineiro,25978.67,2383
Boa Esperança,mineiro,26261.54,39848
Bocaina de Minas,mineiro,15766.67,5348
Bocaiúva,mineiro,24252.97,48032
Bom Despacho,mineiro,35269,51737
Bom Jardim de Minas,mineiro,19828.35,6783
Bom Jesus da Penha,mineiro,45924.06,4474
Bom Jesus do Amparo,mineiro,25935.64,5631
Bom Jesus do Galho,mineiro,11568.99,14536
Bom Repouso,mineiro,15221.01,12649
Bom Sucesso,mineiro,25271.28,17151
Bonfim,mineiro,19772.69,7434
Bonfinópolis de Minas,mineiro,84995.13,5528
Bonito de Minas,mineiro,8784.49,10204
Borda da Mata,mineiro,18923.96,17404
Botelhos,mineiro,21834.65,14828
Botumirim,mineiro,12103.05,5790
Brás Pires,mineiro,11758.46,4260
Brasilândia de Minas,mineiro,24489.37,15020
Brasília de Minas,mineiro,11627.4,32025
Brazópolis,mineiro,13786.69,14246
Braúnas,mineiro,44982.9,4441
Brumadinho,mineiro,112233.99,38915
Bueno Brandão,mineiro,21921.18,10911
Buenópolis,mineiro,17474.86,9150
Bugre,mineiro,11937.36,4041
Buritis,mineiro,46229.61,24030
Buritizeiro,mineiro,26118.73,23910
Cabeceira Grande,mineiro,67955.62,6627
Cabo Verde,mineiro,20665.25,11410
Cachoeira da Prata,mineiro,14487.2,3693
Cachoeira de Minas,mineiro,46258.02,11883
Cachoeira de Pajeú,mineiro,13262.75,9110
