Municípios,Gentílico,PIB per capita,População
Abadia dos Dourados,mineiro,"25174,26 R$",6272 pessoas
Abaeté,mineiro,"23266,1 R$",22675 pessoas
Abre Campo,mineiro,"19553,86 R$",13927 pessoas
Acaiaca,mineiro,"16247,06 R$",3909 pessoas
Açucena,mineiro,"17888,2 R$",8943 pessoas
Água Boa,mineiro,"14421,07 R$",12589 pessoas
Água Comprida,mineiro,"115725,51 R$",2108 pessoas
Aguanil,mineiro,"20762,54 R$",4357 pessoas
Águas Formosas,mineiro,"14913,12 R$",18448 pessoas
Águas Vermelhas,mineiro,"17329,28 R$",14037 pessoas
Aimorés,mineiro,"25402,54 R$",25269 pessoas
Aiuruoca,mineiro,"21608,49 R$",6233 pessoas
Alagoa,mineiro,"17958,99 R$",2749 pessoas
Albertina,mineiro,"51065,05 R$",2952 pessoas
Além Paraíba,mineiro,"27422,83 R$",30717 pessoas
Alfenas,mineiro,"43049,74 R$",78970 pessoas
Alfredo Vasconcelos,mineiro,"21364,59 R$",6931 pessoas
Almenara,mineiro,"15924,96 R$",40364 pessoas
Alpercata,mineiro,"12700,99 R$",6903 pessoas
Alpinópolis,mineiro,"26133,79 R$",18300 pessoas
Alterosa,mineiro,"20357,31 R$",13915 pessoas
Alto Caparaó,mineiro,"16354,23 R$",5795 pessoas
Alto Jequitibá,mineiro,"15158,56 R$",8397 pessoas
Alto Rio Doce,mineiro,"16798,64 R$",10891 pessoas
Alvarenga,mineiro,"14445,67 R$",3975 pessoas
Alvinópolis,mineiro,"22478,72 R$",15059 pessoas
Alvorada de Minas,mineiro,"17990,28 R$",4159 pessoas
Amparo do Serra,mineiro,"12045,13 R$",4541 pessoas
Andradas,mineiro,"28386,06 R$",40553 pessoas
Andrelândia,mineiro,"23950,85 R$",11927 pessoas
Angelândia,mineiro,"16818,81 R$",7718 pessoas
Antônio Carlos,mineiro,"21088,32 R$",11095 pessoas
Antônio Dias,mineiro,"96894,13 R$",9219 pessoas
Antônio Prado de Minas,mineiro,"18117,22 R$",1538 pessoas
Araçaí,mineiro,"25422,8 R$",2181 pessoas
Aracitaba,mineiro,"15253,67 R$",2049 pessoas
Araçuaí,mineiro,"14163,67 R$",34297 pessoas
Araguari,mineiro,"49322,18 R$",117808 pessoas
Arantina,mineiro,"31861,03 R$",2915 pessoas
Araponga,mineiro,"14443,79 R$",8048 pessoas
Araporã,mineiro,"185156,76 R$",8479 pessoas
Arapuá,mineiro,"60936,37 R$",2631 pessoas
Araújos,mineiro,"49809,64 R$",9199 pessoas
Araxá,mineiro,"82570,25 R$",111691 pessoas
Arceburgo,mineiro,"31547,24 R$",9177 pessoas
Arcos,mineiro,"57713,61 R$",41416 pessoas
Areado,mineiro,"20234,71 R$",13881 pessoas
Argirita,mineiro,"14954,09 R$",2688 pessoas
Aricanduva,mineiro,"12645,43 R$",4719 pessoas
Arinos,mineiro,"17849,84 R$",17272 pessoas
Astolfo Dutra,mineiro,"20339,56 R$",14138 pessoas
Ataléia,mineiro,"15926,39 R$",13736 pessoas
Augusto de Lima,mineiro,"18423,57 R$",4538 pessoas
Baependi,mineiro,"19795,44 R$",18366 pessoas
Baldim,mineiro,"25871,06 R$",7492 pessoas
Bambuí,mineiro,"32549,38 R$",23546 pessoas
Bandeira,mineiro,"12476,94 R$",4741 pessoas
Bandeira do Sul,mineiro,"14907,61 R$",5943 pessoas
Barão de Cocais,mineiro,"73393,52 R$",30778 pessoas
Barão de Monte Alto,mineiro,"11883,74 R$",4964 pessoas
Barbacena,mineiro,"25335,18 R$",125317 pessoas
Barra Longa,mineiro,"16702,85 R$",5666 pessoas
Barroso,mineiro,"29022,49 R$",20080 pessoas
Bela Vista de Minas,mineiro,"55337,41 R$",10167 pessoas
Belmiro Braga,mineiro,"17992,57 R$",3244 pessoas
Belo Horizonte,mineiro,"41818,32 R$",2315560 pessoas
Belo Oriente,mineiro,"77527,64 R$",23928 pessoas
Belo Vale,mineiro,"36243,16 R$",8627 pessoas
Berilo,mineiro,"9551,5 R$",9826 pessoas
Berizal,mineiro,"12734,93 R$",4201 pessoas
Bertópolis,mineiro,"11671,08 R$",4451 pessoas
Betim,mineiro,"73624,78 R$",411846 pessoas
Bias Fortes,mineiro,"12668,63 R$",3361 pessoas
Bicas,mineiro,"18998,7 R$",13978 pessoas
Biquinhas,mineiro,"25978,67 R$",2383 pessoas
